step,energy,temperature,entropy,free_energy,branching_factor,output_length,output_complexity,genome_bank_size,elite_count,mutations,replications,crossovers,learns
1,198.0,0.5,0.0,198.0,1.0,0,0.0,0,0,0,0,0,0
2,196.0,0.5,0.0,196.0,1.0,0,0.0,0,0,0,0,0,0
3,195.0,0.5,0.0,195.0,1.0,0,0.0,0,0,0,0,0,0
4,194.0,0.5,0.0,194.0,1.0,0,0.0,0,0,0,0,0,0
5,192.0,0.5,0.0,192.0,1.0,0,0.0,0,0,0,0,0,0
6,191.0,0.5,0.0,191.0,1.0,0,0.0,0,0,0,0,0,0
7,192.0,0.5,0.0,192.0,1.0,0,0.0,0,0,0,0,0,0
8,190.66666666666666,0.5,0.0,190.66666666666666,1.0,0,0.0,0,0,0,0,0,0
9,189.66666666666666,0.5,0.0,189.66666666666666,1.0,0,0.0,0,0,0,0,0,0
10,187.66666666666666,0.5,0.0,187.66666666666666,1.0,0,0.0,0,0,0,0,0,0
11,186.66666666666666,0.5,0.0,186.66666666666666,1.0,0,0.0,0,0,0,0,0,0
12,187.66666666666666,0.5,0.0,187.66666666666666,1.0,0,0.0,0,0,0,0,0,0
13,186.33333333333331,0.5,0.0,186.33333333333331,1.0,0,0.0,0,0,0,0,0,0
14,185.33333333333331,0.5,0.0,185.33333333333331,1.0,1,0.0,0,0,0,0,0,0
15,185.33333333333331,0.5,0.0,185.33333333333331,1.0,1,0.0,0,0,0,0,0,0
16,182.33333333333331,0.5,0.0,182.33333333333331,0.5,1,0.0,0,0,0,0,0,0
17,181.83007499855768,0.5,0.5032583347756457,181.57844583116986,0.5,1,0.0,0,0,0,0,0,0
18,180.83007499855768,0.5,0.5032583347756457,180.57844583116986,0.5,1,0.0,0,0,0,0,0,0
19,177.83007499855768,0.5,0.5032583347756457,177.57844583116986,0.3333333333333333,1,0.0,0,0,0,0,0,0
20,175.83007499855768,0.5,0.5032583347756457,175.57844583116986,0.3333333333333333,1,0.0,0,0,1,0,0,0
21,174.83007499855768,0.5,0.5032583347756457,174.57844583116986,0.3333333333333333,1,0.0,0,0,1,0,0,0
22,173.83007499855768,0.6,0.5032583347756457,173.5281199976923,0.3333333333333333,1,0.0,0,0,1,0,0,0
23,163.83007499855768,0.6,0.5032583347756457,163.5281199976923,0.3333333333333333,1,0.0,1,0,1,1,0,0
24,163.83007499855768,0.6,0.5032583347756457,163.5281199976923,0.3333333333333333,1,0.0,1,0,1,1,0,0
25,157.83007499855768,0.6,0.5032583347756457,157.5281199976923,0.3333333333333333,1,0.0,1,0,1,1,1,0
26,157.83007499855768,0.6,0.5032583347756457,157.5281199976923,0.3333333333333333,1,0.0,1,0,1,1,1,0
27,156.83007499855768,0.6,0.5032583347756457,156.5281199976923,0.3333333333333333,2,0.0,1,0,1,1,1,0
28,156.83007499855768,0.6,0.5032583347756457,156.5281199976923,0.3333333333333333,2,0.0,1,0,1,1,1,0
29,155.83007499855768,0.6,0.5032583347756457,155.5281199976923,0.3333333333333333,0,0.0,1,0,1,1,1,0
30,152.83007499855768,0.6,0.5032583347756457,152.5281199976923,0.5,0,0.0,1,0,1,1,1,0
31,150.83007499855768,0.6,0.5032583347756457,150.5281199976923,0.5,0,0.0,1,0,1,1,1,0
32,149.83007499855768,0.6,0.5032583347756457,149.5281199976923,0.5,0,0.0,1,0,1,1,1,0
33,146.83007499855768,0.6,0.5032583347756457,146.5281199976923,0.4,0,0.0,1,0,1,1,1,0
34,144.83007499855768,0.6,0.5032583347756457,144.5281199976923,0.4,0,0.0,1,0,1,1,1,0
35,143.83007499855768,0.6,0.5032583347756457,143.5281199976923,0.4,0,0.0,1,0,1,1,1,0
36,142.83007499855768,0.5,0.5032583347756457,142.57844583116986,0.4,0,0.0,1,0,1,1,1,0
37,142.83007499855768,0.5,0.5032583347756457,142.57844583116986,0.4,0,0.0,1,0,1,1,1,0
38,141.83007499855768,0.5,0.5032583347756457,141.57844583116986,0.4,1,0.0,1,0,1,1,1,0
39,141.83007499855768,0.5,0.5032583347756457,141.57844583116986,0.4,1,0.0,1,0,1,1,1,0
40,138.83007499855768,0.5,0.5032583347756457,138.57844583116986,0.5,1,0.0,1,0,1,1,1,0
41,136.83007499855768,0.5,0.5032583347756457,136.57844583116986,0.5,1,0.0,1,0,1,1,1,0
42,135.83007499855768,0.5,0.5032583347756457,135.57844583116986,0.5,1,0.0,1,0,1,1,1,0
43,134.83007499855768,0.5,0.5032583347756457,134.57844583116986,0.5,1,0.0,1,0,1,1,1,0
44,132.83007499855768,0.5,0.5032583347756457,132.57844583116986,0.5,1,0.0,1,0,1,1,1,0
45,131.83007499855768,0.5,0.5032583347756457,131.57844583116986,0.5,1,0.0,1,0,1,1,1,0
46,132.83007499855768,0.5,0.5032583347756457,132.57844583116986,0.5,1,0.0,1,0,1,1,1,0
47,131.49674166522433,0.5,0.5032583347756457,131.24511249783652,0.5,1,0.0,1,0,1,1,1,0
48,130.49674166522433,0.5,0.5032583347756457,130.24511249783652,0.5,1,0.0,1,0,1,1,1,0
49,128.49674166522433,0.5,0.5032583347756457,128.24511249783652,0.5,1,0.0,1,0,1,1,1,0
50,127.49674166522433,0.5,0.5032583347756457,127.24511249783652,0.5,1,0.0,1,0,1,1,1,0
51,128.49674166522433,0.5,0.5032583347756457,128.24511249783652,0.5,1,0.0,1,0,1,1,1,0
52,127.163408331891,0.5,0.5032583347756457,126.91177916450319,0.5,1,0.0,1,0,1,1,1,0
53,126.163408331891,0.5,0.5032583347756457,125.91177916450319,0.5,2,0.0,1,0,1,1,1,0
54,126.163408331891,0.5,0.5032583347756457,125.91177916450319,0.5,2,0.0,1,0,1,1,1,0
